Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
02-Jun-2017,EQ,"2,556.25","2,591.85","2,552.50","2,553.60","2,560.00","2,564.90","2,568.84","2,744.80","2,051.90",677824,"1,741,220,234.05",43736
01-Jun-2017,EQ,"2,530.00","2,564.00","2,530.00","2,546.60","2,553.00","2,553.60","2,552.85","2,744.80","2,051.90",540032,"1,378,618,493.35",38315
31-May-2017,EQ,"2,533.00","2,572.50","2,528.00","2,551.10","2,539.95","2,546.60","2,549.69","2,744.80","2,051.90",1251365,"3,190,589,291.10",103176
30-May-2017,EQ,"2,560.00","2,575.95","2,525.00","2,572.85","2,548.20","2,551.10","2,554.74","2,744.80","2,051.90",463817,"1,184,932,112.45",26766
29-May-2017,EQ,"2,579.00","2,596.50","2,564.00","2,578.25","2,572.00","2,572.85","2,577.65","2,744.80","2,051.90",874645,"2,254,524,743.95",41767
26-May-2017,EQ,"2,625.00","2,626.85","2,564.65","2,624.60","2,570.05","2,578.25","2,593.00","2,744.80","2,051.90",681275,"1,766,542,910.70",32170
25-May-2017,EQ,"2,577.00","2,637.55","2,568.00","2,559.15","2,615.05","2,624.60","2,605.40","2,744.80","2,051.90",2047047,"5,333,377,224.30",87147
24-May-2017,EQ,"2,534.80","2,570.00","2,529.65","2,521.70","2,567.10","2,559.15","2,545.01","2,744.80","2,051.90",1267274,"3,225,227,837.35",58716
23-May-2017,EQ,"2,533.20","2,564.15","2,514.00","2,531.35","2,523.70","2,521.70","2,530.49","2,744.80","2,051.90",1374298,"3,477,645,339.05",88749
22-May-2017,EQ,"2,510.00","2,553.75","2,510.00","2,507.15","2,535.00","2,531.35","2,530.69","2,744.80","2,051.90",831970,"2,105,461,143.45",53261
19-May-2017,EQ,"2,536.20","2,540.55","2,486.00","2,536.20","2,503.85","2,507.15","2,506.58","2,744.80","2,051.90",893022,"2,238,429,862.60",63112
18-May-2017,EQ,"2,450.00","2,572.00","2,442.25","2,455.35","2,525.00","2,536.20","2,525.78","2,744.80","2,051.90",2569297,"6,489,478,324.85",111566
17-May-2017,EQ,"2,433.50","2,460.75","2,423.00","2,429.15","2,450.00","2,455.35","2,443.31","2,744.80","2,051.90",1438099,"3,513,728,629.80",86412
