Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
09-Sep-2016,EQ,2329.7,2366.65,2320.05,2322.1,2352.0,2352.45,2347.82,2770.0,2115.0,1371219,3219369765.3,85766
08-Sep-2016,EQ,2360.0,2360.0,2284.75,2440.55,2327.7,2322.1,2313.11,2770.0,2115.0,3510758,8120773685.25,171363
07-Sep-2016,EQ,2499.7,2499.7,2423.0,2484.05,2452.1,2440.55,2463.78,2770.0,2115.0,1927020,4747759131.5,69195
06-Sep-2016,EQ,2519.9,2520.15,2480.0,2514.8,2484.7,2484.05,2492.04,2770.0,2115.0,1119533,2789923411.35,82530
02-Sep-2016,EQ,2512.0,2519.4,2496.05,2507.5,2511.0,2514.8,2509.99,2770.0,2115.0,871165,2186618832.5,54628
01-Sep-2016,EQ,2524.9,2534.95,2487.05,2511.3,2507.25,2507.5,2507.33,2770.0,2115.0,672868,1687104609.05,44078
31-Aug-2016,EQ,2550.0,2550.0,2500.85,2544.15,2514.7,2511.3,2520.29,2770.0,2115.0,1615834,4072374254.55,99253
30-Aug-2016,EQ,2510.0,2549.8,2501.25,2500.55,2544.9,2544.15,2526.5,2770.0,2115.0,722013,1824166805.6,47160
29-Aug-2016,EQ,2534.95,2534.95,2466.75,2524.95,2508.0,2500.55,2489.5,2770.0,2115.0,744364,1853092003.05,63254
26-Aug-2016,EQ,2559.8,2572.55,2517.2,2551.05,2527.25,2524.95,2536.81,2770.0,2115.0,625157,1585906361.05,44995
25-Aug-2016,EQ,2580.0,2589.7,2526.0,2572.05,2550.35,2551.05,2549.92,2770.0,2115.0,969845,2473028891.15,56688
24-Aug-2016,EQ,2589.8,2602.0,2569.05,2601.05,2570.65,2572.05,2579.68,2770.0,2115.0,558439,1440592513.95,38751
23-Aug-2016,EQ,2544.95,2604.95,2540.2,2548.7,2600.4,2601.05,2593.41,2770.0,2115.0,751687,1949428824.75,46115
22-Aug-2016,EQ,2588.0,2594.45,2536.3,2603.5,2553.5,2548.7,2562.14,2770.0,2115.0,1132637,2901977850.05,92781
19-Aug-2016,EQ,2640.0,2646.45,2600.0,2638.55,2602.6,2603.5,2610.69,2770.0,2115.0,1208122,3154028235.45,59756
18-Aug-2016,EQ,2635.0,2657.55,2630.1,2624.55,2631.0,2638.55,2648.64,2770.0,2115.0,646032,1711106603.1,47877
17-Aug-2016,EQ,2699.0,2699.0,2618.0,2691.7,2628.0,2624.55,2641.55,2770.0,2115.0,924283,2441537139.85,68405
16-Aug-2016,EQ,2738.0,2740.0,2673.85,2738.45,2700.0,2691.7,2709.24,2770.0,2115.0,1591877,4312775600.65,116813
12-Aug-2016,EQ,2705.0,2744.8,2702.05,2709.9,2740.0,2738.45,2732.86,2770.0,2115.0,1163679,3180176255.45,85247
11-Aug-2016,EQ,2665.55,2715.0,2665.55,2675.4,2706.85,2709.9,2702.48,2770.0,2115.0,1116569,3017506737.25,72571
10-Aug-2016,EQ,2651.0,2682.0,2648.0,2650.2,2676.0,2675.4,2671.88,2770.0,2115.0,1031039,2754807946.1,61590
09-Aug-2016,EQ,2658.0,2659.8,2578.85,2649.5,2654.45,2650.2,2645.82,2770.0,2115.0,1130957,2992303331.2,133349
08-Aug-2016,EQ,2640.0,2668.0,2629.05,2649.1,2655.0,2649.5,2651.83,2770.0,2115.0,1029122,2729060314.25,65630
05-Aug-2016,EQ,2673.9,2684.3,2632.0,2652.0,2643.45,2649.1,2657.26,2770.0,2115.0,934242,2482521653.0,62736
04-Aug-2016,EQ,2670.0,2682.95,2636.25,2656.3,2658.0,2652.0,2656.13,2770.0,2115.0,707708,1879761561.65,47274
03-Aug-2016,EQ,2686.0,2699.0,2649.05,2699.2,2649.05,2656.3,2666.45,2770.0,2115.0,1147351,3059356734.7,86554
02-Aug-2016,EQ,2702.9,2715.7,2689.8,2708.25,2703.8,2699.2,2702.65,2770.0,2115.0,1289081,3483935382.2,101312
01-Aug-2016,EQ,2632.0,2725.0,2632.0,2619.3,2702.6,2708.25,2696.68,2770.0,2115.0,1980852,5341716553.35,88196
29-Jul-2016,EQ,2614.0,2634.9,2599.0,2619.25,2624.9,2619.3,2618.8,2770.0,2115.0,1244042,3257901003.85,79709
28-Jul-2016,EQ,2580.5,2629.55,2577.05,2577.55,2614.2,2619.25,2601.74,2770.0,2115.0,2316040,6025726969.7,96943
27-Jul-2016,EQ,2555.0,2580.4,2545.0,2552.6,2578.0,2577.55,2570.12,2770.0,2115.0,875255,2249514103.75,72548
26-Jul-2016,EQ,2558.95,2568.0,2533.0,2558.95,2550.0,2552.6,2547.81,2770.0,2115.0,1155645,2944362581.65,97504
