Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
14-Mar-2022,EQ,"22,394.60","22,424.95","21,960.00","22,394.60","22,388.95","22,361.45","22,203.80","32,048.00","21,650.00",31448,"698,264,989.40",10707
11-Mar-2022,EQ,"22,150.00","22,434.40","21,919.30","22,197.60","22,400.00","22,394.60","22,262.40","32,048.00","21,650.00",45123,"1,004,546,141.10",13211
10-Mar-2022,EQ,"22,300.00","22,749.90","22,050.00","21,964.65","22,060.10","22,197.60","22,289.87","32,048.00","21,650.00",342415,"7,632,386,015.05",37190
09-Mar-2022,EQ,"22,583.00","22,697.90","21,848.55","22,583.85","21,990.00","21,964.65","22,000.49","32,048.00","21,650.00",246411,"5,421,162,398.80",35500
08-Mar-2022,EQ,"21,985.00","22,703.95","21,712.00","21,990.35","22,213.55","22,583.85","22,124.16","32,048.00","21,650.00",51900,"1,148,243,870.90",19441
07-Mar-2022,EQ,"22,149.85","22,370.15","21,650.00","22,550.35","22,050.00","21,990.35","21,945.79","32,048.00","21,650.00",55412,"1,216,060,167.05",18441
04-Mar-2022,EQ,"22,899.00","22,899.00","22,116.65","22,827.05","22,550.00","22,550.35","22,500.99","32,048.00","22,116.65",92672,"2,085,211,302.70",27042
03-Mar-2022,EQ,"24,026.00","24,226.00","22,748.45","23,932.65","22,860.00","22,827.05","23,300.66","32,048.00","22,748.45",80837,"1,883,555,097.25",28463
02-Mar-2022,EQ,"24,105.00","24,200.00","23,656.00","24,414.70","23,955.00","23,932.65","23,904.02","32,048.00","22,832.00",44055,"1,053,091,383.85",15970
28-Feb-2022,EQ,"23,870.00","24,496.00","23,560.30","23,983.45","24,496.00","24,414.70","24,116.76","32,048.00","22,832.00",39994,"964,525,586.45",14785
25-Feb-2022,EQ,"23,615.30","24,090.00","23,500.00","23,152.25","23,990.00","23,983.45","23,868.73","32,048.00","22,832.00",46935,"1,120,278,627.30",15135
24-Feb-2022,EQ,"24,100.30","24,229.20","22,832.00","24,603.45","23,100.00","23,152.25","23,670.06","32,048.00","22,832.00",93756,"2,219,209,949.10",26077
23-Feb-2022,EQ,"24,600.00","24,799.35","24,146.00","24,393.70","24,440.00","24,603.45","24,541.13","32,048.00","23,500.05",46904,"1,151,077,390.60",14309
22-Feb-2022,EQ,"23,991.00","24,550.00","23,910.00","24,678.35","24,500.00","24,393.70","24,307.84","32,048.00","23,500.05",62313,"1,514,694,181.50",18540
21-Feb-2022,EQ,"24,340.00","24,993.00","24,050.05","24,349.55","24,660.00","24,678.35","24,689.88","32,048.00","23,500.05",65698,"1,622,075,935.05",17156
18-Feb-2022,EQ,"24,590.00","24,740.00","24,110.10","24,723.85","24,417.00","24,349.55","24,366.60","32,048.00","23,500.05",36614,"892,158,847.60",12519
17-Feb-2022,EQ,"25,189.75","25,189.75","24,579.25","24,916.35","24,660.00","24,723.85","24,849.44","32,048.00","23,500.05",30441,"756,441,798.60",9894
16-Feb-2022,EQ,"24,931.50","25,184.60","24,565.70","24,909.20","24,822.70","24,916.35","24,877.27","32,048.00","23,500.05",35980,"895,084,251.65",10912
15-Feb-2022,EQ,"23,605.00","24,972.85","23,589.20","23,589.20","24,839.00","24,909.20","24,493.14","32,048.00","23,500.05",53569,"1,312,072,986.95",18079
